accession	genbank_accession_rev	strain	date	region	country	division	location	host	date_submitted	sra_accession	abbr_authors	reverse	authors	institution	clade	outbreak	lineage	coverage	missing_data	divergence	nonACGTN	QC_missing_data	QC_mixed_sites	QC_rare_mutations	QC_frame_shifts	QC_stop_codons	frame_shifts	is_reverse_complement
Z99065	Z99065.1	Z99065							1999-01-07		Babkin et al		Babkin,I.V.,Petrov,N.A.,Shchelkunov,S.N.	S.N. Shchelkunov, Institute of Molecular Biology, 633159 Novosibirsk region, Koltsovo, NPO 'Vector'	II			0.0021347910085239500	0	2	0	good	good	good	good	good		FALSE
Z99061	Z99061.1	Z99061							1999-01-07		Babkin et al		Babkin,I.V.,Petrov,N.A.,Shchelkunov,S.N.	S.N. Shchelkunov, Institute of Molecular Biology, 633159 Novosibirsk region, Koltsovo, NPO 'Vector'	I			0.0021347910085239500	0	1	0	good	good	good	good	good		FALSE
Z99052	Z99052.1	Z99052							1999-01-07		Babkin et al		Babkin,I.V.,Petrov,N.A.,Shchelkunov,S.N.	S.N. Shchelkunov, Institute of Molecular Biology, 633159 Novosibirsk region, Koltsovo, NPO 'Vector'	I			0.0051011870654990400	0	4	0	good	good	good	good	good		FALSE
X97855	X97855.1	X97855							1996-05-23		Hoelzle et al		Hoelzle,L.E.,Meyer,H.,Hell,W.,Czerny,C.P.	L.E. Hoelzle, Ludwig-Maximilians-Universitaet, Inst.f. Med. Mikrobiologie, Infectious and Epidemic Diseases Veterinary Faculty, Veterinaerstr. 13, D-80539 Muenchen	IIa			0.00463974767885847	0	5	0	good	good	good	good	good		TRUE
X75155	X75155.1	X75155							1993-09-28		Meyer et al		Meyer,H.,Osterrieder,N.,Czerny,C.P.	H. Meyer, Inst. f. Mikrobiologie, Sanitaetsakademie der Bundeswehr, Neuherbergstr. 11, 80937 Muenchen	II			0.001855899071543390	0	3	0	good	good	good	good	good		TRUE
U88543	U88543.1	U88543							1998-01-02		Loparev et al		Loparev,V.N.,Parsons,J.M.,Esposito,J.J.	Centers for Disease Control and Prevention, Division of Viral and Rickettsial Diseases	I			0.006140693376062960	0	6	0	good	good	good	good	good		FALSE
U88144	U88144.1	U88144							1998-01-02		Loparev et al		Loparev,V.N.,Parsons,J.M.,Esposito,J.J.	Centers for Disease Control and Prevention, Division of Viral and Rickettsial Diseases	II			0.0066883357250429700	0	2	0	good	good	good	good	good		FALSE
U88143	U88143.1	U88143							1998-01-02		Loparev et al		Loparev,V.N.,Parsons,J.M.,Esposito,J.J.	Centers for Disease Control and Prevention, Division of Viral and Rickettsial Diseases	II			0.0066883357250429700	0	2	0	good	good	good	good	good		FALSE
U88142	U88142.1	U88142							1998-01-02		Loparev et al		Loparev,V.N.,Parsons,J.M.,Esposito,J.J.	Centers for Disease Control and Prevention, Division of Viral and Rickettsial Diseases	I			0.0066883357250429700	0	2	0	good	good	good	good	good		FALSE
U87995	U87995.1	U87995							1998-01-02		Loparev et al		Loparev,V.N.,Parsons,J.M.,Esposito,J.J.	Division of Viral and Rickettsial Diseases, Centers for Disease Control and Prevention, 1600 Clifton Rd., NE, Atlanta, GA 30333	II			0.0066883357250429700	0	3	0	good	good	good	good	good		FALSE
U87994	U87994.1	U87994							1998-01-02		Loparev et al		Loparev,V.N.,Parsons,J.M.,Esposito,J.J.	Division of Viral and Rickettsial Diseases, Centers for Disease Control and Prevention, 1600 Clifton Rd., NE, Atlanta, GA 30333	II			0.0066883357250429700	0	2	0	good	good	good	good	good		FALSE
U87847	U87847.1	U87847							1998-01-02		Loparev et al		Loparev,V.N.,Parsons,J.M.,Esposito,J.J.	Division of Viral and Rickettsial Diseases, Centers for Disease Control and Prevention, 1600 Clifton Rd., NE, Atlanta, GA 30333	I			0.0066883357250429700	0	4	0	good	good	good	good	good		FALSE
U87846	U87846.1	U87846							1998-01-02		Loparev et al		Loparev,V.N.,Parsons,J.M.,Esposito,J.J.	Division of Viral and Rickettsial Diseases, Centers for Disease Control and Prevention, 1600 Clifton Rd., NE, Atlanta, GA 30333	IIb			0.0066883357250429700	0	6	0	good	good	good	good	good		FALSE
U87845	U87845.1	U87845							1998-01-02		Loparev et al		Loparev,V.N.,Parsons,J.M.,Esposito,J.J.	Division of Viral and Rickettsial Diseases, Centers for Disease Control and Prevention, 1600 Clifton Rd., NE, Atlanta, GA 30333	I			0.0066883357250429700	0	2	0	good	good	good	good	good		FALSE
U87844	U87844.1	U87844							1998-01-02		Loparev et al		Loparev,V.N.,Parsons,J.M.,Esposito,J.J.	Division of Viral and Rickettsial Diseases, Centers for Disease Control and Prevention, 1600 Clifton Rd., NE, Atlanta, GA 30333	IIb			0.0066883357250429700	0	6	0	good	good	good	good	good		FALSE
U87843	U87843.1	U87843							1998-01-02		Loparev et al		Loparev,V.N.,Parsons,J.M.,Esposito,J.J.	Division of Viral and Rickettsial Diseases, Centers for Disease Control and Prevention, 1600 Clifton Rd., NE, Atlanta, GA 30333	IIa			0.0066883357250429700	0	3	0	good	good	good	good	good		FALSE
